time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-03T08:17:11.599Z,23.9986,121.6286,20.894,4.6,mb,49,46,0.652,0.86,us,us7000m9kb,2024-04-03T20:01:37.040Z,"3 km NE of Hualien City, Taiwan",earthquake,3.23,5.185,0.077,50,reviewed,us,us
2024-04-03T07:52:38.170Z,-14.3213,167.2623,212.62,5.1,mb,78,49,6.814,0.78,us,us7000m9k6,2024-04-03T08:08:21.040Z,"58 km SSW of Sola, Vanuatu",earthquake,10.22,7.235,0.081,49,reviewed,us,us
2024-04-03T07:48:14.387Z,38.0154,37.675,1.272,4.4,mb,34,79,0.575,0.81,us,us7000m9k4,2024-04-03T20:04:03.040Z,"18 km WSW of Doğanşehir, Turkey",earthquake,1.99,1.884,0.105,26,reviewed,us,us
2024-04-03T06:35:02.012Z,-36.0398,-73.6402,9.828,4.9,mwr,50,151,0.794,0.7,us,us7000m9js,2024-04-03T17:17:41.356Z,"88 km NW of Tomé, Chile",earthquake,5.58,4.666,0.046,46,reviewed,us,us
2024-04-03T06:33:57.205Z,24.1165,121.9003,7.969,5,mb,56,65,0.729,0.86,us,us7000m9jv,2024-04-03T20:06:02.040Z,"33 km ENE of Hualien City, Taiwan",earthquake,5.67,4.799,0.061,85,reviewed,us,us
2024-04-03T06:31:34.030Z,23.8852,121.5678,11.63,4.8,mb,62,82,0.55,0.62,us,us7000m9ju,2024-04-03T20:08:04.040Z,"10 km SSW of Hualien City, Taiwan",earthquake,5.47,4.007,0.063,79,reviewed,us,us
2024-04-03T06:10:08.316Z,24.0922,121.7035,19.273,4.9,mb,32,80,0.648,0.76,us,us7000m9jn,2024-04-03T20:10:22.040Z,"16 km NE of Hualien City, Taiwan",earthquake,5.07,5.14,0.079,50,reviewed,us,us
2024-04-03T05:45:12.333Z,8.5216,126.6697,61.544,4.8,mb,47,116,1.802,0.72,us,us7000m9jl,2024-04-03T06:02:30.040Z,"40 km ENE of Hinatuan, Philippines",earthquake,11.18,6.995,0.083,45,reviewed,us,us
2024-04-03T05:23:51.846Z,24.0478,121.7162,35.357,4.6,mb,54,76,0.692,0.62,us,us7000m9j6,2024-04-03T20:13:03.040Z,"13 km NE of Hualien City, Taiwan",earthquake,3.43,7.395,0.09,37,reviewed,us,us
2024-04-03T04:51:22.042Z,8.509,126.707,54.502,5.1,mb,56,113,1.815,0.74,us,us7000m9j3,2024-04-03T05:11:39.040Z,"43 km ENE of Hinatuan, Philippines",earthquake,7.44,7.132,0.048,140,reviewed,us,us
2024-04-03T04:34:44.033Z,24.0117,121.6846,35,4.8,mwr,74,52,0.705,0.92,us,us7000m9iz,2024-04-04T07:06:48.806Z,"9 km ENE of Hualien City, Taiwan",earthquake,1.53,1.876,0.063,24,reviewed,us,us
2024-04-03T04:08:08.453Z,23.6604,121.7736,23.698,4.5,mb,25,145,0.512,0.96,us,us7000m9ix,2024-04-03T20:15:58.040Z,"39 km SSE of Hualien City, Taiwan",earthquake,2.47,5.98,0.093,34,reviewed,us,us
2024-04-03T03:57:18.251Z,23.7937,121.5508,28.385,4.9,mwr,39,80,0.462,0.88,us,us7000m9is,2024-04-03T04:10:33.040Z,"21 km SSW of Hualien City, Taiwan",earthquake,3.57,4.95,0.061,26,reviewed,us,us
2024-04-03T03:48:24.952Z,13.7435,-89.953,89.503,4.3,mb,32,156,0.231,0.79,us,us7000m9ik,2024-04-03T11:33:48.737Z,"11 km WSW of Jujutla, El Salvador",earthquake,3.65,5.311,0.062,75,reviewed,us,us
